메일 날짜,서버 선정 제목,언론사,상위 분류,하위 분류,우선순위,선정 이유,URL
2025-05-26,"'16득점 야투율 63%' 동국대 한재혁, ""슛은 자신감이 가장 중요""",ROOKIE,dongguk_core,기타,,,https://www.rookie.co.kr/news/articleView.html?idxno=110360
2025-05-30,"이주호 대행 ""지자체·대학, 지역 특색 기반한 상생 노력 해야""",뉴스1,education,기타,,,https://www.news1.kr/society/education/5797534
2025-07-30,"조계종, 올해 출가자 5년 만에 100명 돌파 목전 - 불교IN",불교IN,buddhism,기타,,,https://www.bulgyo-in.com/news/articleView.html?idxno=1394
2025-08-27,"돈관스님, 2년 전 세웠던 원력 결실 맺어..홀몸 탈북 '의지처'로",BTN불교TV,dongguk_core,기타,,,https://www.btnnews.tv/news/articleView.html?idxno=87000
2025-11-10,"동국대, ‘2025 동국 창업 포럼’ 성료",대학저널,dongguk_core,기타,,,https://dhnews.co.kr/news/view/1065575083118834
2025-11-10,[대학通] 대학도서관진흥법이 나아가야 할 방향,한국대학신문 - 411개 대학을 연결하는 '힘',dongguk_core,기타,,,https://news.unn.net/news/articleView.html?idxno=585755
2025-11-11,"정연화 보살, 동국대에 50억원 자산 희사 - 불교신문",불교신문,dongguk_core,기타,,,https://www.ibulgyo.com/news/articleView.html?idxno=432681
2025-11-11,2026학년도 '수능 문제지' 배부 | 연합뉴스,https://www.facebook.com/yonhap,education,기타,,,https://www.yna.co.kr/view/PYH20251110011400013
2025-11-25,"강윤재 동국대 교수, 신간 '과학기술과 위험사회' 출간",뉴시스,dongguk_core,기타,,,https://www.newsis.com/view/NISX20251124_0003414817
2025-11-25,"학생·동문 개인정보 넘치는데…해킹에 뻥 뚫린 대학, 대책은 [팩플] | 중앙일보",https://www.joongang.co.kr,education,기타,,,https://www.joongang.co.kr/article/25384759
2025-11-25,사찰림은 ‘생태문화 복합유산’…역사·문화 가치 활용위한 법 개정 필요,법보신문,buddhism,기타,,,https://www.beopbo.com/news/articleView.html?idxno=332601
2026-01-19,"동국대 남경완 교수, 이차전지 인재양성 공로 '교육부 장관상'",뉴시스,dongguk_core,기타,,,https://www.newsis.com/view/NISX20260116_0003479398
2026-01-19,자유는 ‘데이터’가 아니라 ‘지혜’에서 나온다 - 불교신문,불교신문,dongguk_core,기타,,,https://www.ibulgyo.com/news/articleView.html?idxno=434702
2026-02-23,"“AI 스님도 등장?”…불교계, 인공지능을 논한다 - 불교신문",불교신문,buddhism,기타,,,https://www.ibulgyo.com/news/articleView.html?idxno=435612
2026-02-24,늙고 병든 후 죽음의 끝에서 만난 ‘침묵’의 대답 - 불교신문,불교신문,dongguk_core,기타,,,https://www.ibulgyo.com/news/articleView.html?idxno=435656
2026-02-24,"대입·사교육 등 교육정책 개선 방안, 국민에게 직접 듣는다",뉴시스,education,기타,,,https://www.newsis.com/view/NISX20260223_0003521953
2026-04-03,"과기정통부, 서울대·연세대·부산대 등 케이스타 비자 대학 27개교 선정",한국대학신문 - 411개 대학을 연결하는 '힘',education,기타,,,https://news.unn.net/news/articleView.html?idxno=591244
2026-04-06,"﻿동국대 의생명공학과 송예진 대학원생, '여대학원생 공학연구팀제 지원사업' 선정",베리타스알파,dongguk_core,기타,,,https://www.veritas-a.com/news/articleView.html?idxno=604313
2026-04-06,급기야 ‘연기법’까지 학습한 로봇의 선언 “나는 너다” - 불교신문,불교신문,dongguk_core,기타,,,https://www.ibulgyo.com/news/articleView.html?idxno=436935
2026-04-06,"≪후생신보≫ 가천박물관 심효섭 부관장, 신임 관장 임명",후생신보,dongguk_core,기타,,,https://www.whosaeng.com/169476
2026-04-06,[유학생 30만시대 上] 중국 중심서 동남아로…베트남 급증,아시아투데이,education,기타,,,https://www.asiatoday.co.kr/kn/view.php?key=20260405010001321
2026-04-06,[2026 서울 선명상축제] 반려견과 함께한 선명상 - 현대불교,현대불교,buddhism,기타,,,https://www.hyunbulnews.com/news/articleView.html?idxno=502733
2026-04-07,똑똑해야 착하다?…지혜·자비 관계도 ‘양자역학’ - 불교신문,불교신문,dongguk_core,기타,,,https://www.ibulgyo.com/news/articleView.html?idxno=437088
2026-04-13,"""과탐 응시 35% 급감, 통합수능 후 최저치""…3월 학평서 '과탐 기피' 심...",news1.kr,education,university_education,,,https://www.news1.kr/society/education/6132607
2026-04-27,﻿동국대 건학 120주년 기념 '피터 싱어 초청 강연회' 성황리 개최,베리타스알파,dongguk_core,기타,,,https://www.veritas-a.com/news/articleView.html?idxno=607206
2026-04-27,천국에 간 사람들끼리도 결국엔 다툰다 - 불교신문,불교신문,dongguk_core,기타,,,https://www.ibulgyo.com/news/articleView.html?idxno=437599
2026-04-27,제18차 종립대학총장협의회‥대학 당면과제 공유,BTN불교TV,dongguk_core,기타,,,https://www.btnnews.tv/news/articleView.html?idxno=89824
2026-04-27,도심 키즈카페서 열린 이색 수계식… ‘제1회 밝은마음 어린이 수계대법회·미술대회’ 성료,불교방송,buddhism,기타,,,https://news.bbsi.co.kr/news/articleView.html?idxno=4080526
2026-04-30,"교육부, 2026 대학정보공시 발표… 일반대 67.7% 등록금 인상, 평균 등록금 727만 원",한국대학신문 - 411개 대학을 연결하는 '힘',education,기타,,,https://news.unn.net/news/articleView.html?idxno=592147
2026-05-12,"해수부·교육부, 해양 인재 육성 맞손…1200억 원 투입",nocutnews.co.kr,education,university_education,,,https://www.nocutnews.co.kr/news/6515273?utm_source=naver&utm_medium=article&utm_campaign=20260511041056
2026-05-13,﻿동국대 경기RISE사업단 'AI 에이전트 활용 교육과정' 무료 운영,베리타스알파,dongguk_core,기타,,,https://www.veritas-a.com/news/articleView.html?idxno=609483
2026-05-14,"동국대 종학연, ‘하루 무문관’ 침묵 수행 성료",법보신문,dongguk_core,기타,,,https://www.beopbo.com/news/articleView.html?idxno=335439
2026-05-14,사찰음식 국가무형유산 지정 1주년 기념 사진전 - 불교신문,불교신문,buddhism,기타,,,https://www.ibulgyo.com/news/articleView.html?idxno=438239
2026-06-24,"동국대, '학생 신체접촉·성희롱 의혹' 교수 해임 - 연합뉴스",연합뉴스,dongguk_core,기타,,,https://www.yna.co.kr/view/AKR20260623171700004
2026-06-24,"부산 숭림사, 동국대에 장학금 2000만원 쾌척 - 현대불교",현대불교,dongguk_core,기타,,,https://www.hyunbulnews.com/news/articleView.html?idxno=503983
2026-06-24,지역사회 통·번역 인력 키운다…동국대 WISE캠퍼스 신규 과정 운영 - v.daum.net,Daum | 경북매일,dongguk_core,기타,,,https://v.daum.net/v/qFct3qPKrO?f=p
2026-06-29,"동국대학교, ‘2026년 방위 산업 계약학과 지원사업’ 선정 - 아시아투데이",아시아투데이,dongguk_core,기타,,,https://www.asiatoday.co.kr/kn/view.php?key=20260626000959461
2026-06-29,"동국대 WISE캠퍼스, 경주시 지속가능 관광도시 전환 힘 보탠다 - 중앙일보",중앙일보,dongguk_core,기타,,,https://www.joongang.co.kr/article/25440215
2026-06-29,"동국대 대학원 제약바이오산업학과, 내달 3일까지 신입생 모집 - 데일리팜",데일리팜,dongguk_core,기타,,,https://www.dailypharm.com/user/news/339873
2026-06-29,동국 파크골프선수단 공식 출범…레저로 후원 협약 두 달 만에 창단 결실 - 지이코노미,지이코노미,dongguk_core,기타,,,https://www.geconomy.co.kr/mobile/article.html?no=321247
2026-06-29,"""행특은 안 본다?"" 가장 위험한 오해… 동국대가 밝힌 평가 기준 - 에듀진 인터넷 교육신문",에듀진 인터넷 교육신문,dongguk_core,기타,,,https://www.edujin.co.kr/news/articleView.html?idxno=53290
2026-06-29,동국대학교는 BMC창업보육센터가 경기도가 실시한 '2026년 창업보육센터 운영평가'에서 최우수 등급인 'S등급'을 획득하며 5년 연속 최고등급을 달성했다.(사진=동국대) - 전자신문,전자신문,education,기타,,,https://www.etnews.com/tools/image_popup.html?v=bjQ5VkNYY2dLZTZMZFBUbmNzandvWmpGcjBTK1pHYm1CUVRXR0pTMldlYVZkdE5JeGJVUFVVNURJN04rbmhKTXdKNm5vN0JvWHNzaU1DWjJQSExGQ3BOcWtJWUlyMjdTTUZsRHJkUGxqZ2x6a0xCdkpVSW40aC9uTTZEN0cwdnN1N2pZM0MwMU8xdk90SHQ4TTVEYnhYSTBSQm9yMVBuQktiQWcveUo2d3FldkJ4OHQ3eGZWa2Y5L0dQeENjVm5pZzcvS1hLR2czWVBwVHhJNGdSQ3UzSExRK1VNc3dtUjBPMjcxOUc1dmh0Qktqd0t4NjlrTlhicmw0TGZIaWJ1OU5HdlgwdHAzaEhCeExIUlRxc1JDMC9KS0tOS29iVTVqRCt5VUd0MWh4YmNLK2Y3VGtpOC9sN2JOTXpTMWFIZXFQVWFac2NwSmpZZ1dBZlhiZG9iM3VmN25VTnhodzM2Q1Zla3J3UUg0bFYyY3hQWm4vU0JSa1lwM01UR3JJdXZOVGhjM0lxTENVc1RnUGtLQkNxKzlwTkNvZTJyRytjYVhEU3dBbWR4SmkxNU1xMHJ6UC9Fb2YweGFNZ083WnFXdWI4ZHR2MTY1Q3BOUFRhWU8zaVNhWStnMkpRcDhaWGJkK3BaWnk5Nm9YRzhINk9HQm9HeHlVSUFESTAxTlhNTWNzZ29GMDM5L0QzZDMxMk9XcGJ4SDJ3OGFLMFVLMXduUG04VzRDaHVvZkhaRG90cnJMZWpETVE2eWhkUmgyRU1sTzVUQ0JGanUxbDBRUG1RZTg1NWRDdlpwRmx4Ni9FalVKVUJTWUo0LzJ2dXZmTXJHUCsxZWh0U0VmcTQrVnVFalZWS21UZUZBb3c1cm1zSTlvTXV4QnE5SmgyT3hDcFlEeDl2NlFhYVkzQ1VITVZZRk94ajhTWUNEcFdSZFA5cnJMZ2hDbEdjZlBOemgxSmFrdzE2WVA3SGtIYStqQmlzOVo3RERhd0hMRVBjPQ
2026-06-29,"""청춘의 신심으로""… 대불련 동문·재학생, 경주서 한마음 - BBS불교방송",불교방송,education,기타,,,https://news.bbsi.co.kr/news/articleView.html?idxno=4091699
2026-07-08,"동국대, 개교 120주년 'C포럼' 개최…대학 창업 생태계 논의",더퍼블릭,dongguk_core,기타,,,"https://www.thepublic.kr/news/articleView.html?idxno=310429
https://www.thepublic.kr/news/articleViewAmp.html?idxno=310429"
2026-07-08,"'염불선' 청화 스님 흔적들, 디지털 아카이브로 결집",불교닷컴,dongguk_core,기타,,,http://www.bulkyo21.com/news/articleView.html?idxno=64521
2026-07-08,동국대 로터스관 건립에 동문 기부…이선용 회장 1억원 전달 - 아시아투데이,아시아투데이,dongguk_core,기타,,,https://www.asiatoday.co.kr/kn/view.php?key=20260707010002667
2026-07-08,"동국대 WISE캠퍼스 학생들, 박열의사기념관 찾아 호국정신 되새겨",브레이크뉴스,dongguk_core,기타,,,http://www.breaknews.com/1219884
2026-07-08,"동국대 WISE캠, 특성화고 TOPIK 단체접수 지원 협약 - 법보신문",법보신문,dongguk_core,기타,,,https://www.beopbo.com/news/articleView.html?idxno=336475
2026-07-08,"""절은 승려의 집, 교회는 신자의 공동체…국어사전 속 종교용어, 차별 ...",법보신문,buddhism,기타,,,https://www.beopbo.com/news/articleView.html?idxno=336481
2026-07-09,동국대 WISE캠퍼스 베트남 고교 협력 교육 및 유학 간담회 개최 - 베리타스알파,베리타스알파,dongguk_core,기타,,,https://www.veritas-a.com/news/articleView.html?idxno=618477
2026-07-09,청화대종사 수행·사상 디지털로 집대성…불교학술원-벽산무주회 협약...,불교신문,dongguk_core,기타,,,http://www.ibulgyo.com/news/articleView.html?idxno=439949
2026-07-09,"대학 창업 ‘돈 가뭄’ 깬다…동국대기술지주, 40억원 규모 모태펀드 영토 확장 - 스마트경제",스마트경제,dongguk_core,기타,,,https://www.dailysmart.co.kr/news/articleView.html?idxno=126645
2026-07-09,[대학 뉴스브리핑] 동국대·덕성여대·삼육대,아시아타임즈,education,기타,,,https://www.asiatime.co.kr/article/20260708500346
2026-07-09,"종교의 위기 시대, 불교는 어떻게 ‘힙한 불교’ 됐나",중앙일보,buddhism,buddhist_order,,,https://www.joongang.co.kr/article/25443402
2026-07-09,"총무원장 진우 스님, 한성숙 총리에 ""마음 건강, 국가복지로 연계해야""",법보신문,buddhism,buddhist_order,,,https://www.beopbo.com/news/articleView.html?idxno=336495
2026-07-10,"동국대, 기업 안전보건공시제 앞두고 대응 세미나 개최 - 연합뉴스",연합뉴스,dongguk_core,기타,,,https://www.yna.co.kr/view/AKR20260709095000004
2026-07-10,"동국대 WISE캠퍼스, 베트남 3개 고교와 유학 간담회 개최 - v.daum.net",Daum | 중앙일보,dongguk_core,기타,,,https://v.daum.net/v/20260709161138625
2026-07-10,[동국대학교 법무대학원 도시정비법무정책최고위과정 4·5기 학술세미나] 구룡마을 도시개발사업 현장 집중 탐방 - 고령자주택신문,고령자주택신문,dongguk_core,기타,,,https://www.elderlypress.co.kr/news/articleView.html?idxno=55542
2026-07-10,[ 제4회 명사초청강연회 개최 ] 동국대 도시정비법무정책최고위과정 - 한국도시환경헤럴드,한국도시환경헤럴드,dongguk_core,기타,,,http://www.kueherald.co.kr/news/articleViewAmp.html?idxno=58944
2026-07-10,동국대 WISE캠퍼스 경북환경보건센터 생활환경 대기질 측정 및 주민 건강모니터링 실시 - 베리타스알파,베리타스알파,dongguk_core,기타,,,https://www.veritas-a.com/news/articleView.html?idxno=618656
2026-07-10,"4Q 6분 동안 16점 차 뒤집은 동국대, 상명대 꺾고 결선 진출 희망 살렸다",Unknown,education,기타,,,https://m.sports.naver.com/basketball/article/065/0000299494
