메일 날짜,소스 발견 건수,신규 저장 건수,결과 반환 소스,시간 초과 소스,재수집 결과 설명
2025-08-01,0,0,,"naver, dongguk_official",검색 결과 없음; 일부 소스 시간 초과
2025-08-13,0,0,,dongguk_official,검색 결과 없음; 일부 소스 시간 초과
2025-08-18,0,0,,"naver, dongguk_official",검색 결과 없음; 일부 소스 시간 초과
2025-08-19,0,0,,"naver, dongguk_official",검색 결과 없음; 일부 소스 시간 초과
2025-08-20,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2025-08-26,0,0,,naver,검색 결과 없음; 일부 소스 시간 초과
2025-08-27,0,0,,"google_rss, naver, dongguk_official",검색 결과 없음; 일부 소스 시간 초과
2025-08-28,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2025-08-29,0,0,,naver,검색 결과 없음; 일부 소스 시간 초과
2025-09-09,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2025-09-11,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2025-10-13,0,0,,dongguk_official,검색 결과 없음; 일부 소스 시간 초과
2025-10-16,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2025-10-24,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2025-11-10,0,0,,naver,검색 결과 없음; 일부 소스 시간 초과
2025-11-11,0,0,,naver,검색 결과 없음; 일부 소스 시간 초과
2025-11-13,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2025-11-25,0,0,,naver,검색 결과 없음; 일부 소스 시간 초과
2025-11-26,0,0,,naver,검색 결과 없음; 일부 소스 시간 초과
2025-11-27,0,0,,dongguk_official,검색 결과 없음; 일부 소스 시간 초과
2025-12-01,0,0,,dongguk_official,검색 결과 없음; 일부 소스 시간 초과
2025-12-10,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2026-01-08,0,0,,google_rss,검색 결과 없음; 일부 소스 시간 초과
2026-01-12,0,0,,google_rss,검색 결과 없음; 일부 소스 시간 초과
2026-01-14,0,0,,"google_rss, naver, dongguk_official",검색 결과 없음; 일부 소스 시간 초과
2026-01-16,1,1,section_pool_education,,신규 기사 저장
2026-01-19,0,0,,"naver, dongguk_official",검색 결과 없음; 일부 소스 시간 초과
2026-01-21,0,0,,"google_rss, naver, dongguk_official",검색 결과 없음; 일부 소스 시간 초과
2026-02-20,0,0,,dongguk_official,검색 결과 없음; 일부 소스 시간 초과
2026-02-23,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2026-02-24,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2026-03-03,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2026-03-09,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2026-03-11,0,0,,google_rss,검색 결과 없음; 일부 소스 시간 초과
2026-03-23,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2026-03-25,0,0,,google_rss,검색 결과 없음; 일부 소스 시간 초과
2026-04-01,0,0,,google_rss,검색 결과 없음; 일부 소스 시간 초과
2026-04-03,2,0,section_pool_education,"google_rss, naver",검색 결과는 있었으나 중복·날짜·관련성 기준으로 신규 저장되지 않음
2026-04-06,2,0,section_pool_education,,검색 결과는 있었으나 중복·날짜·관련성 기준으로 신규 저장되지 않음
2026-04-07,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2026-04-13,1,1,section_pool_education,google_rss,신규 기사 저장
2026-04-17,3,0,section_pool_education,google_rss,검색 결과는 있었으나 중복·날짜·관련성 기준으로 신규 저장되지 않음
2026-04-23,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2026-04-24,0,0,,,모든 검색 소스가 해당 과거 날짜 결과를 반환하지 않음
2026-04-27,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2026-04-28,0,0,,"google_rss, naver, dongguk_official",검색 결과 없음; 일부 소스 시간 초과
2026-04-30,2,1,section_pool_education,,신규 기사 저장
2026-05-04,3,0,section_pool_education,,검색 결과는 있었으나 중복·날짜·관련성 기준으로 신규 저장되지 않음
2026-05-12,6,6,section_pool_education,"google_rss, naver",신규 기사 저장
2026-05-13,2,0,section_pool_education,dongguk_official,검색 결과는 있었으나 중복·날짜·관련성 기준으로 신규 저장되지 않음
2026-05-14,0,0,,"google_rss, naver",검색 결과 없음; 일부 소스 시간 초과
2026-05-15,0,0,,google_rss,검색 결과 없음; 일부 소스 시간 초과
2026-05-19,8,0,"section_pool_education, relation_expansion",google_rss,검색 결과는 있었으나 중복·날짜·관련성 기준으로 신규 저장되지 않음
2026-05-26,3,0,"section_pool_education, relation_expansion",google_rss,검색 결과는 있었으나 중복·날짜·관련성 기준으로 신규 저장되지 않음
