메일 날짜,원본 섹션,원본 순번,원본 기사 제목,원본 언론사,원본 URL,비교 결과,일치 방식,유사도,서버 선정 제목,서버 선정 언론사,서버 선정 URL,차이/제외 이유,일반 재수집 후보 확인,최종 후보 확인,후보 확보 확인
2025-04-15,대학 [교육],2,"고등교육 패러다임 변화 속… “대학들, 성과관리 분석 넘어 개선으로”",한국대학신문,https://news.unn.net/news/articleView.html?idxno=577617,일치,URL 일치,1.0,"고등교육 패러다임 변화 속… “대학들, 성과관리 분석 넘어 개선으로”",한국대학신문 - 411개 대학을 연결하는 '힘',https://news.unn.net/news/articleView.html?idxno=577617,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-15,대학 [교육],3,"""차에서 자도 된다""…집세 비싼 美 캘리포니아에서 '대학생 노숙방지법' 발의",TV조선,https://news.tvchosun.com/site/data/html_dir/2025/04/14/2025041490246.html,선정되지 않음,,,,,,후보에는 있었지만 현재 우선순위와 메일 기사 수 정책에 따라 대표 목록에 포함되지 않았습니다.,아니오,예,예
2025-04-17,동국대 [법인/건학위],1,"동국대 성정석 교수팀, 2025년도 환경기술개발사업 신규 수주",뉴시스,"https://www.newsis.com/view/NISX20250417_0003142684
https://www.pinpointnews.co.kr/news/articleView.html?idxno=337205",후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-17,동국대 [법인/건학위],2,"동국대 5개 연구팀, '2025 여대학원생 공학연구팀제 지원사업' 선정",뉴시스,"https://www.newsis.com/view/NISX20250416_0003142104
https://dhnews.co.kr/news/view/1065601719621233",일치,URL 일치,1.0,"동국대 5개 연구팀, '2025 여대학원생 공학연구팀제 지원사업' 선정",뉴시스,https://www.newsis.com/view/NISX20250416_0003142104,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-17,동국대 [법인/건학위],3,동국대 작가들이 그려낸 5인 5색 ‘부처님 세계’,현대불교신문,https://www.hyunbulnews.com/news/articleView.html?idxno=418665,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-17,동국대 [법인/건학위],4,동국대 총동림동문회 “좋은 일은 혼자보다 여럿이”,BTN,https://www.btnnews.tv/news/articleView.html?idxno=85386,일치,URL 일치,1.0,동국대 총동림동문회 “좋은 일은 혼자보다 여럿이”,BTN불교TV,https://www.btnnews.tv/news/articleView.html?idxno=85386,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-17,동국대 [법인/건학위],5,"[동문소식 – 박신양(연극영화 86)] 우리는 왜 실레의 선 앞에 멈춰서는가…비틀린 자세, 진실된 시선",교수신문,http://www.kyosu.net/news/articleView.html?idxno=133235,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-17,대학 [교육],1,내년 의대 모집인원 3058명 동결 가닥…교육부 오늘 발표,뉴스1,https://www.news1.kr/society/education/5755617,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-17,대학 [교육],2,"트럼프 위협대로…미 국세청, 하버드 면세지위 박탈 추진",연합뉴스,https://www.yna.co.kr/view/AKR20250417025800009?input=1195m,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-17,불교 [종단],1,대만불교에서 한국불교의 '전법 방향' 모색,불교신문,https://slv.ibulgyo.com/news/articleView.html?idxno=424924,일치,URL 일치,1.0,대만불교에서 한국불교의 '전법 방향' 모색 - 불교신문,불교신문,https://slv.ibulgyo.com/news/articleView.html?idxno=424924,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-17,불교 [종단],2,미국 청소년들도 “고요한 산사서 평화 배웠어요”,법보신문,https://www.beopbo.com/news/articleView.html?idxno=328549,일치,URL 일치,1.0,미국 청소년들도 “고요한 산사서 평화 배웠어요”,법보신문,https://www.beopbo.com/news/articleView.html?idxno=328549,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-21,동국대 [법인/건학위],1,"동국대, 개정증보판 ‘불교사전’ 4월 29일 봉정",법보신문,https://www.beopbo.com/news/articleView.html?idxno=328622,일치,URL 일치,1.0,"동국대, 개정증보판 ‘불교사전’ 4월 29일 봉정",법보신문,https://www.beopbo.com/news/articleView.html?idxno=328622,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-21,동국대 [법인/건학위],2,"영천 선화여고, 법당 개원법회 및 개교 기념식 봉행",BTN,https://www.btnnews.tv/news/articleView.html?idxno=85435,일치,URL 일치,1.0,"영천 선화여고, 법당 개원법회 및 개교 기념식 봉행",BTN불교TV,https://www.btnnews.tv/news/articleView.html?idxno=85435,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-21,동국대 [법인/건학위],3,"[동문소식 – 최진식(무역 77)] ""획일적 노동시간 규제가 기업 생존 위협 … 세제 개편도 절박""",매일경제,https://www.mk.co.kr/news/business/11296413,AI/정책 제외,,,,,,동국대와 직접적인 관련성이 낮음,아니오,예,예
2025-04-21,동국대 [법인/건학위],4,"[동문소식 – 임희조(서양화 07)] 임희조, 호리아트스페이스 '서툰행복' 개인전",뉴시스,https://www.newsis.com/view/NISX20250419_0003145601,AI/정책 제외,,,,,,동국대와 직접적인 관련성이 낮음,아니오,예,예
2025-04-21,동국대 [법인/건학위],5,"장시원 PD 새 예능 ‘불꽃야구’, 동국대전 티켓 내일 오픈",스포츠월드,https://www.sportsworldi.com/newsView/20250421506191,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-21,대학 [교육],1,"이주호 부총리 ""대학 변화, 정부 주도는 한계…지자체가 이끌어야""",MBN,https://www.mbn.co.kr/news/society/5107615,일치,URL 일치,1.0,"이주호 부총리 ″대학 변화, 정부 주도는 한계…지자체가 이끌어야″",MBN,https://www.mbn.co.kr/news/society/5107615,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-21,대학 [교육],2,수능 출제위원이 사교육업체에 문항 판매…‘사교육 카르텔’ 100명 검찰 송치,문화일보,https://www.munhwa.com/article/11499760?ref=naver,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-21,대학 [교육],3,'문송합니다' 이제 옛말?…'고3 문과생 급증' 대반전,한국경제,https://www.hankyung.com/article/2025042032271,일치,URL 일치,1.0,"의대 정원 축소…고3 문과생 급증, 명문대 노려 이과 중·하위권서 전향",한국경제,https://www.hankyung.com/article/2025042032271,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-21,불교 [종단],1,"“듣고, 사유하고, 변화하라” 광용스님, 경청·섬김 실천한 ‘여성불자 길잡이’",문화일보,https://www.munhwa.com/article/11500274?ref=naver,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-21,불교 [종단],2,"나는 절로 쌍계사편, 역대 최다 9커플 인연 맺으며 '회향'",불교신문,https://slv.ibulgyo.com/news/articleView.html?idxno=425055,일치,URL 일치,1.0,"나는 절로 쌍계사편, 역대 최다 9커플 인연 맺으며 '회향' - 불교신문",불교신문,https://slv.ibulgyo.com/news/articleView.html?idxno=425055,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-21,불교 [종단],3,"“사찰음식은 정성과 배려... 다른 비법 같은 건 없어요""",불교신문,https://slv.ibulgyo.com/news/articleView.html?idxno=425012,일치,URL 일치,1.0,"“정성과 배려... 다른 비법 같은 건 없어요"" - 불교신문",불교신문,https://slv.ibulgyo.com/news/articleView.html?idxno=425012,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-22,동국대 [법인/건학위],1,"동국대 바이오메디캠퍼스(BMC), 김포대·농협대·서영대와 '경기도 RISE 공동추진 업무협약' 체결",뉴시스,"https://www.newsis.com/view/NISX20250421_0003146976
https://www.seoulfn.com/news/articleView.html?idxno=555103",일치,URL 일치,1.0,"동국대, 김포대·농협대·서영대와 '경기도 RISE 공동추진 업무협약' 체결",뉴시스,https://www.newsis.com/view/NISX20250421_0003146976,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-22,동국대 [법인/건학위],2,"동국대 경영대학, AACSB 국제경영교육 재인증 획득",대학저널,"https://dhnews.co.kr/news/view/1065587431806793
https://www.newsis.com/view/NISX20250421_0003147348",일치,URL 일치,1.0,"동국대 경영대학, AACSB 국제경영교육 재인증 획득",대학저널,https://dhnews.co.kr/news/view/1065587431806793,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-22,동국대 [법인/건학위],3,"[동문소식 – 박근덕, 신윤영, 유지선, 홍기진(불교미술 99)] 박근덕 작가 등 4人 기획전 ‘피다, 또 꽃이 피다’",불교신문,https://www.ibulgyo.com/news/articleView.html?idxno=425100,일치,URL 일치,1.0,"박근덕 작가 등 4人 기획전 ‘피다, 또 꽃이 피다’ - 불교신문",불교신문,https://www.ibulgyo.com/news/articleView.html?idxno=425100,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-22,동국대 [법인/건학위],4,[현정환 교수 인터뷰]“티메프·발란 사태 재발 막으려면 전자 결제 대행 감독 강화해야”,조선비즈,https://economychosun.com/site/data/html_dir/2025/04/11/2025041100017.html,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-22,대학 [교육],1,"교육부, 의대생 20여 명과 소통···의대 교육 정상화 논의",한국일보,https://www.hankookilbo.com/News/Read/A2025042110410001139?did=NA,동일 주제 대표 매체 차이,동일 주제·다른 대표 기사,0.9565,"교육부, 내일 의대생 20여 명과 소통···의대 교육 정상화 논의-사회ㅣ한국일보",한국일보,https://www.hankookilbo.com/news/article/A2025042110410001139?did=NA,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-22,대학 [교육],2,"사탐 보고 공대行…""뒤늦게 물리 과외 받아요""",매일경제,https://www.mk.co.kr/news/society/11297540,일치,URL 일치,1.0,"사탐 보고 공대行…""뒤늦게 물리 과외 받아요"" - 매일경제",매일경제,https://www.mk.co.kr/news/society/11297540,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-22,대학 [교육],3,"[칼럼] 외국인 유학생, 어떻게 볼 것인가",대전일보,https://www.daejonilbo.com/news/articleView.html?idxno=2197546,선정되지 않음,,,,,,후보에는 있었지만 현재 우선순위와 메일 기사 수 정책에 따라 대표 목록에 포함되지 않았습니다.,아니오,예,예
2025-04-22,불교 [종단],1,"독립기념관, '한국 독립운동과 불교' 특별기획전 개최",연합뉴스,https://www.yna.co.kr/view/AKR20250421037500063?input=1195m,AI/정책 제외,,,,,,섹션 자격 필터를 통과하지 못해 메일 포함에서 제외되었습니다.,아니오,예,예
2025-04-28,동국대 [법인/건학위],1,"더 젊어진 연등회, 대학 불교동아리 적극 참여",BBS,https://news.bbsi.co.kr/news/articleView.html?idxno=4027695,AI/정책 제외,,,,,,섹션 자격 필터를 통과하지 못해 메일 포함에서 제외되었습니다.,아니오,예,예
2025-04-28,동국대 [법인/건학위],2,[포토] 2025 연등회 참가한 동국대 불교동아리들,아시아투데이,https://www.asiatoday.co.kr/kn/view.php?key=20250426010015722,일치,URL 일치,1.0,[포토] 2025 연등회 참가한 동국대 불교동아리들,아시아투데이,https://www.asiatoday.co.kr/kn/view.php?key=20250426010015722,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-28,동국대 [법인/건학위],3,"동국대 영상대학원, 'OTT콘텐츠특성화대학원 지원사업' 선정",뉴시스,https://www.newsis.com/view/NISX20250425_0003154077,일치,URL 일치,1.0,"동국대 영상대학원, 'OTT콘텐츠특성화대학원 지원사업' 선정",뉴시스,https://www.newsis.com/view/NISX20250425_0003154077,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-28,동국대 [법인/건학위],4,"[동문소식 – 정병국(철학 70), 이승기(국제통상 05)]정병국·이승기·임시현·김윤봉, 조계종 불자대상 선정",불교신문,https://www.ibulgyo.com/news/articleView.html?idxno=425236,후보 미확보,,,,,,일반 재수집과 원본 URL 검증 백필에서도 서버 후보를 확인하지 못했습니다.,아니오,아니오,아니오
2025-04-28,동국대 [법인/건학위],5,장정화 전 대한불교청년회장 동국대 특임교수 임용,대구일보,https://www.idaegu.com/news/articleView.html?idxno=635776,일치,URL 일치,1.0,장정화 전 대한불교청년회장 동국대 특임교수 임용,대구일보,https://www.idaegu.com/news/articleView.html?idxno=635776,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-28,대학 [교육],1,"교육부, 의대생 ‘수업 참여 의향’ 묻는 설문조사 착수",이데일리,https://www.edaily.co.kr/News/Read?newsId=01961446642140056&mediaCodeNo=257&OutLnkChk=Y,일치,URL 일치,1.0,"교육부, 의대생 ‘수업 참여 의향’ 묻는 설문조사 착수",이데일리,https://www.edaily.co.kr/News/Read?newsId=01961446642140056&mediaCodeNo=257&OutLnkChk=Y,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-28,대학 [교육],2,늘어나는 대학가 '1000원 복지'… 아침 이어 저녁·매점까지 등장,조선일보,https://www.chosun.com/national/education/2025/04/26/O7JU7GFUI5GWFMZVDQ3NPIVPTE/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,일치,URL 일치,1.0,늘어나는 대학가 '1000원 복지'… 아침 이어 저녁·매점까지 등장,조선일보,https://www.chosun.com/national/education/2025/04/26/O7JU7GFUI5GWFMZVDQ3NPIVPTE/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-28,불교 [종단],1,어린이가 이끈 10만 연등행렬…전 세계에 전한 희망의 메시지,법보신문,https://www.beopbo.com/news/articleView.html?idxno=328757,일치,URL 일치,1.0,어린이가 이끈 10만 연등행렬…전 세계에 전한 희망의 메시지,법보신문,https://www.beopbo.com/news/articleView.html?idxno=328757,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
2025-04-28,불교 [종단],2,외국인도 감탄한 연등행렬 “세계 주요 축제 반열 가치 충분”,현대불교신문,https://www.hyunbulnews.com/news/articleView.html?idxno=418873,일치,URL 일치,1.0,외국인도 감탄한 연등행렬 “세계 주요 축제 반열 가치 충분” - 현대불교,현대불교,https://www.hyunbulnews.com/news/articleView.html?idxno=418873,홍보처 원본과 AI 선정 결과가 일치합니다.,아니오,예,예
